Likes,Dislikes,Subscribers
26347,309,3600
150,45,150000
629,13,138000
3786,46,418000
2607,125,2100000
52,20,240000
84,33,523000
1,0,98000
1874,17,524000
5220,47,744000
1190,25,138000
1060,18,44000
861,15,20000
271,4,22000
361,1,110000
1579,30,56000
3652,79,1100000
278,7,40000
957,15,161000
267,0,598000
9772,98,418000
1899,77,533000
4213,157,169000
536,10,29000
120758,2076,15000
110339,1400,9800000
20561,421,157000
1680,64,82000
962,101,261000
56079,2057,189000
17676,1825,173000
157733,1950,9800000
1635,66,248000
18573,410,7700000
287040,6453,47000
79668,1308,4500
60416,869,3900
31506,1778,87000
111715,777,9800000
2325,62,173000
6,3,2100
594,89,194000
127105,2749,5500000
39942,1519,12000000
109177,1491,5500000
6016,879,3500
22544,4814,66000
12084,5340,66000
82236,1015,832000
63740,3144,5100000
8433,532,176000
96183,12717,935000
215,52,13000
52263,4283,2400000
59,16,3400
2331,206,194000
187455,10628,5100000
56351,2302,9600000
320010,8739,6500000
603506,23616,365000
23405,347,742000
453654,51599,7300000
500017,10507,2100000
2211814,132518,7300000
14115,1317,3700
1042890,22010,344000
260819,13650,1800000
1325365,67472,1300000
17831,644,1800
289242,8078,6500000
187624,4082,6500000
344924,13378,6500000
2417,61,145000
181523,8918,795000
8134,1041,944000
19464,1024,795000
588782,49298,2100000
139233,10065,188000
417962,47971,1100000
6447,934,764000
171196,16592,2900000
14709,1278,39000
55736,6542,374000
66828,7666,486000
79977,7837,1500000
18275,3014,764000
84473,6361,1500000
441,16,1000000
56373,4944,1000000
347,11,49000
6719,376,3600000
44669,2616,37000
128530,1921,6300000
11439,914,7900000
2414,113,1600000
21958,1071,163000
236,22,134
778,58,272
14984,404,2500000
4033,82,421000
1708,42,9800000
4001,149,1200000
1026,92,14000
12096,199,1700000
432,10,49000
4196,149,3600000
19246,520,1700000
7216,56,2400000
5887,380,17000
1791,390,502000
598,22,362000
86,4,4400
739,36,828000
265,8,22000
2612,135,519000
25,5,233000
2324,91,77000
66128,9386,1100000
2505,141,519000
3118,514,13000
4916,743,8000
2131,266,359000
321613,5140,893000
83,15,663
192,66,68000
539,141,491
11,2,540000
10002,853,20000000
784388,8514,5600000
3566930,83387,18000000
1773,71,1300000
20146,656,1700
463556,13596,514000
2479,133,568000
529,4,416000
1376335,43754,5600000
565035,11335,5600000
684013,45740,5600000
6086,1095,6100
5277,1590,718000
631,37,22000
3540,30,188000
6158,46,2900000
16508,995,197000
180,8,901
732,68,248000
1928684,111150,2100000
172088,18036,1700000
1975193,26902,22000000
1908970,209535,3800000
471084,40807,1800000
51593,2712,13000
786268,20200,88000
852037,22125,22000000
96293,2735,205000
762,21,677000
74177,2025,2200000
307133,7661,4900000
1181904,143978,11000000
5480698,401786,28000000
516744,24263,94000
231659,21613,1800000
517957,32688,99000
32553,2071,4200
794,2,707000
22718,479,2700
11442,291,10000
55672,2449,6600000
20044,70,1600000
542343,21685,1800000
11372,230,1700
531470,12919,21000
127,18,825000
20289,736,3100
7293,113,34000
101789,685,1000000
55650,2387,11000
24712,630,214000
175546,3708,16000
48847,491,1900000
185522,4334,26000
787,33,38000
144,8,24000
6896,172,787000
7200,94,14000
24140,453,780000
17961,302,839000
8380,344,20000000
4308,274,1400000
129078,2331,4400000
862,24,306000
20376,425,5300000
2591,83,966000
4816,187,30000
3411,63,282000
3112,75,787000
3696,115,787000
44246,658,44000
527,8,94000
184,25,9400
4632,339,859000
4898,641,2600
1931,136,373000
4391,382,373000
601,33,373000
5524,277,1800000
9030,339,7000
350,50,1500
11417,179,893000
51474,583,17000
270,3,32000
46,4,29000
44504,4952,20000000
16783,547,124000
137411,13302,6400000
188490,9698,5800000
3423,491,373000
30021,1004,780000
137,7,1100
546,48,107000
12373,708,324000
3579,102,23000
347,11,49000
6719,376,3600000
44669,2616,37000
128530,1921,6300000
11439,914,7900000
2414,113,1600000
21958,1071,163000
236,22,134
778,58,272
14984,404,2500000
4033,82,421000
1708,42,9800000
4001,149,1200000
1026,92,14000
12097,199,1700000
432,10,49000
4196,149,3600000
19247,520,1700000
7216,56,2400000
4879,144,2100000
810,208,4800000
137,27,279000
127,55,523000
8132,2208,3600000
12,16,240000
104,13,1000000
255,77,960000
2381,130,2100000
675,68,2100000
33,35,663000
116,15,302000
36,21,663000
646,3,285000
56,116,388000
841,27,7300000
421,70,5300000
57,8,414000
510,172,336000
6,2,65000
657,116,3400000
562,94,140000
529,859,921000
8859,94,771000
26000,2297,19000000
5052,864,659000
43,18,336000
9526,798,373000
97,26,23000
6733,251,4000
54,22,980000
33453,1583,96000
3781,301,50000
1289,23,62000
1260,12,82000
274,6,13000
99,3,4900
25,12,302000
9604,2017,3600000
11968,132,407000
7245,648,359000
1873,135,50000
83,6,100000
1060,124,621000
48,2,557000
433,16,23000
24373,2427,247000
4254,401,107000
8792,609,3400000
9248,200,12000
19,8,635000
248,5,3500
2931,53,766000
1882,70,460000
2000,107,50000
5336,342,499000
13,6,540000
1009,127,17000
63,1,13000
148,1,4300
162,4,64000
4,1,8250
2318436,203415,372000
410763,56397,4300000
156844,7577,26000
63,5,3000
82,2,15000
9953,184,1400000
224028,12776,54000
8124,1139,137000
29535,4178,359000
37863,30362,3600000
868,79,786000
1267369,56040,372000
657570,91614,372000
143742,4048,677000
5808,153,827000
1167,395,1000000
336,13,20000
81,1,6600
2000,107,50000
941,115,869000
1659928,52096,537000
3709,152,522000
9036,838,460000
1119,41,5800
18887,335,621000
228,1,350
646,14,4300
33,4,8500
4802,307,499000
46689,3121,138000
15644,1654,1700000
30213,3913,869000
23,3,2200
125234,5735,537000
8577,227,638000
102842,2126,537000
731,29,19000
1018,42,527000
1,0,54000
1,0,54000
1,13,54000
194,3,196000
718,96,146000
35,1,213000
6,4,213000
24,4,663000
15,23,635000
11,14,213000
6,1,213000
24,2,285000
175,6,3100000
24,4,663000
4,3,20000
56,2,557000
46,4,635000
272,16,11000
9,1,285000
80,2,441000
6,4,635000
31,0,635000
2092,171,146000
41,6,635000
23,6,635000
307,18,3100000
25,7,635000
426,31,233000
372,7,3100000
56,3,2700000
36,3,210000
954,45,3000000
9,0,663000
37,0,663000
86,10,635000
23,3,663000
18,0,663000
7,2,663000
1602,20,1000000
2198,197,359000
116,7,1000000
62,1,2700000
538,27,1300000
16,8,240000
495,152,2100000
10,0,240000
30,5,559000
9,11,240000
44,3,414000
187,32,980000
50,6,557000
930,145,146000
2,0,408000
35,9,635000
12,1,557000
11,0,150000
1003,38,544000
758,50,939000
2,6,319000
2,0,635000
3,4,262000
187,13,3100000
733,52,3100000
34207,3164,359000
750,46,544000
132,9,50000
893,64,3100000
142,5,230000
789390,29242,572000
1133057,17298,16000000
50,12,414000
47,13,523000
820,117,5300000
10,0,240000
41522,319,1900000
186878,8048,1100000
63094,3674,39000
23000,137,1100000
10056,388,85000
12587,362,819000
20563,329,1800000
1010,49,12000000
56066,32196,2500000
9802,150,955000
94546,1875,178000
1107551,41443,6500000
560773,13421,572000
128524,12822,601000
11015,223,819000
18021,609,819000
10347,178,144000
1,0,45000
48571,3740,1100000
11172,1976,373000
2309,15,155000
68,48,1600
8892,165,105000
100,8,397000
174267,4575,570000
713,480,382000
239,28,228000
44,8,10000
130,24,391000
135,42,181000
1495,227,752000
167,24,14000
75,24,66000
112,6,81000
51,13,143000
6648,208,2700000
3050,362,213000
21096,910,10000000
5267,273,579000
1312,204,31000
57736,7565,579000
1208,43,627000
233,13,31000
384,13,106000
1794,188,19000000
364,37,27000
10835,448,2700000
13123,492,2700000
17140,321,2700000
826,201,77000
14090,252,1200000
2551,470,2700
373,8,7200
151,66,4000
150803,1348,2500000
28528,6222,295000
19167,239,799000
92775,3278,13000000
133728,61638,7100000
17913,433,20000000
80489,33940,7100000
195997,1472,2500000
70144,8673,1700000
188495,3552,2500000
13848,945,817000
314606,4991,2500000
